porosity,perm
0.066,1.820E-14
0.054,3.350E-15
0.057,6.300E-15
0.075,2.110E-14
0.069,4.970E-14
0.05,2.490E-15
0.106,1.540E-13
0.102,1.550E-13
0.097,1.330E-13
0.068,1.020E-14
0.202,3.400E-12
0.067,1.210E-14
0.222,3.560E-12
0.073,1.090E-14
0.084,4.230E-14
0.078,2.290E-14
0.085,5.810E-14
0.085,1.720E-13
0.168,1.640E-12
0.164,1.690E-12
0.159,1.770E-12
0.155,1.540E-12
0.151,1.220E-12
0.207,3.120E-12
0.212,4.520E-12
0.174,1.350E-12
0.17,9.810E-13
0.158,7.020E-13
0.1,1.900E-13
0.159,1.280E-12
0.159,1.190E-12
0.17,1.090E-12
0.045,1.900E-15
0.07,2.420E-14
0.092,1.820E-13
0.109,1.490E-13
0.069,1.570E-14
0.069,2.360E-14
0.18,1.740E-12
0.188,2.280E-12
0.189,2.180E-12
0.194,3.390E-12
0.052,1.200E-15
0.047,1.300E-15
0.059,5.300E-15
0.108,2.820E-13
0.103,3.990E-13
0.099,2.000E-13
0.056,6.100E-15
0.052,4.700E-15
0.08,4.100E-14
0.111,3.240E-13
0.113,3.590E-13
0.062,1.020E-14
0.094,9.920E-14
0.202,4.080E-12
0.045,5.240E-16
0.055,4.100E-15
0.16,1.430E-12
0.051,2.170E-15
0.114,3.160E-13
0.077,4.440E-14
0.171,1.270E-12
0.115,3.500E-13
0.192,2.880E-12
0.054,1.910E-15
0.126,5.640E-13
0.042,3.910E-16
0.071,1.720E-14
